chr	start	end	name	pathway
chr8	104310660	104345094	FZD6	Wnt
chr8	28351721	28431785	FZD3	Wnt
chr8	120428551	120436678	NOV	Notch
chr8	128748314	128753680	MYC	MYC
chr9	140500091	140509812	ARRDC1	Notch
chr9	4985085	5128183	JAK2	RTK/RAS
chr9	82186687	82341797	TLE4	Wnt
chr9	84198597	84304450	TLE1	Wnt
chr9	87283372	87430623	NTRK2	RTK/RAS
chr9	133589267	133763062	ABL1	RTK/RAS
chr9	135766734	135820020	TSC1	PI3K
chr9	21967750	21974826	CDKN2A	cellcycle
chr9	22002901	22009312	CDKN2B	cellcycle
chr9	101867370	101916474	TGFBR1	TGFB
chr9	126118445	126141034	CRB2	Hippo
chr9	139388884	139440238	NOTCH1	Notch
chrX	20168028	20284750	RPS6KA3	p53
chrX	47420498	47425374	ARAF	RTK/RAS
chrX	63404996	63425624	AMER1	Wnt
chrX	153639853	153650065	TAZ	Hippo
chr10	89623194	89731687	PTEN	PI3K
chr10	114710008	114927437	TCF7L2	Wnt
chr10	123237843	123353481	FGFR2	RTK/RAS
chr10	35927176	35930362	FZD8	Wnt
chr10	43572516	43622952	RET	RTK/RAS
chr10	99526507	99531756	SFRP5	Wnt
chr10	111967362	112047123	MXI1	MYC
chr11	92085261	92629636	FAT3	Hippo
chr11	68080076	68216743	LRP5	Wnt
chr11	69455872	69469242	CCND1	cellcycle
chr11	108093558	108239826	ATM	p53
chr11	119076985	119178859	CBL	RTK/RAS
chr11	532241	535567	HRAS	RTK/RAS
chr11	6642554	6677080	DCHS1	Hippo
chr11	86656716	86666440	FZD4	Wnt
chr11	101981191	102104154	YAP1	Hippo
chr12	69201951	69239324	MDM2	p53
chr12	389222	498621	KDM5A	Notch
chr12	12268958	12419811	LRP6	Wnt
chr12	56360552	56366573	CDK2	cellcycle
chr12	56473808	56497291	ERBB3	RTK/RAS
chr12	118587605	118628367	TAOK3	Hippo
chr12	122516633	122631894	MLXIP	MYC
chr12	124808956	125052010	NCOR2	Notch
chr12	4382901	4414522	CCND2	cellcycle
chr12	12870203	12875317	CDKN1B	cellcycle
chr12	25357722	25403865	KRAS	RTK/RAS
chr12	52345450	52390863	ACVR1B	TGFB
chr12	58141509	58146230	CDK4	cellcycle
chr12	65444403	65515346	WIF1	Wnt
chr12	112856701	112924727	PTPN11	RTK/RAS
chr12	130647003	130650285	FZD10	Wnt
chr13	21547174	21635722	LATS2	Hippo
chr13	48877882	49056026	RB1	cellcycle
chr13	28577410	28674729	FLT3	RTK/RAS
chr14	51100297	51135071	SAV1	Hippo
chr14	65472818	65569262	MAX	MYC
chr14	105235685	105259938	AKT1	PI3K
chr14	105607317	105635161	JAG2	Notch
chr15	66679210	66783882	MAP2K1	RTK/RAS
chr15	67358194	67487533	SMAD3	TGFB
chr15	70340128	70387124	TLE3	Wnt
chr15	88419987	88799962	NTRK3	RTK/RAS
chr15	99191767	99507759	IGF1R	RTK/RAS
chr15	41952609	42062141	MGA	MYC
chr16	337439	402676	AXIN1	Wnt
chr16	3775054	3930121	CREBBP	Notch
chr16	2097895	2138721	TSC2	PI3K
chr16	29985187	29999726	TAOK2	Hippo
chr17	78518624	78940173	RPTOR	PI3K
chr17	15933407	16097953	NCOR1	Notch
chr17	27717942	27878921	TAOK1	Hippo
chr17	29421944	29549782	NF1	RTK/RAS
chr17	37844336	37884915	ERBB2	RTK/RAS
chr17	56429860	56494943	RNF43	Wnt
chr17	80200536	80231594	CSNK1D	Hippo
chr17	2287353	2304258	MNT	MYC
chr17	7571719	7578811	TP53	p53
chr17	40719077	40725221	MLX	MYC
chr17	42634811	42638630	FZD2	Wnt
chr17	63524680	63557740	AXIN2	Wnt
chr18	45359465	45456970	SMAD2	TGFB
chr18	48556582	48611412	SMAD4	TGFB
chr19	2997635	3029165	TLE2	Wnt
chr19	40736223	40771258	AKT2	PI3K
chr19	1205797	1228434	STK11	PI3K
chr19	4090318	4124126	MAP2K2	RTK/RAS
chr19	10596795	10613481	KEAP1	Nrf2
chr19	15270443	15311792	NOTCH3	Notch
chr19	18263987	18281343	PIK3R2	PI3K
chr19	30302900	30315224	CCNE1	cellcycle
chr19	49843851	49864752	TEAD2	Hippo
chr19	52693054	52729678	PPP2R1A	PI3K
chr20	43595114	43708618	STK4	Hippo
chr20	32263291	32274210	E2F1	cellcycle
chr22	29279754	29453476	ZNRF3	Wnt
chr22	22113945	22221970	MAPK1	RTK/RAS
chr22	29083730	29137822	CHEK2	p53
chr22	29999544	30079904	NF2	Hippo
chr22	41488613	41576081	EP300	Notch
chr22	38686696	38713413	CSNK1E	Hippo
chr1	62901974	62917475	USP1	DDR
chr1	91726322	91870426	HFM1	DDR
chr1	2115898	2126214	FAAP20	DDR
chr1	11734536	11741271	MAD2L2	DDR
chr1	28218034	28241308	RPA2	DDR
chr1	40974390	40981722	EXO5	DDR
chr1	45265896	45271667	PLK3	DDR
chr1	45794913	45805629	MUTYH	DDR
chr1	46713366	46744145	RAD54L	DDR
chr1	68150859	68154021	GADD45A	DDR
chr1	114447240	114456708	DCLRE1B	DDR
chr1	115110177	115124265	BCAS2	DDR
chr1	155232658	155243320	CLK2	DDR
chr1	202300784	202311094	UBE2T	DDR
chr1	226548391	226595801	PARP1	DDR
chr1	231473681	231490775	SPRTN	DDR
chr1	242011492	242053241	EXO1	DDR
chr2	28111575	28561768	BRE	DDR
chr2	216974019	217071016	XRCC5	DDR
chr2	225334866	225450114	CUL3	DDR
chr2	17935124	17967187	GEN1	DDR
chr2	47630205	47710367	MSH2	DDR
chr2	58386377	58468515	FANCL	DDR
chr2	152266396	152333860	RIF1	DDR
chr2	190648810	190742355	PMS1	DDR
chr2	215590369	215674435	BARD1	DDR
chr2	10262694	10271546	RRM2	DDR
chr2	17845078	17935096	SMC6	DDR
chr2	48010220	48034092	MSH6	DDR
chr2	68694690	68807294	APLF	DDR
chr2	75185774	75196859	POLE4	DDR
chr2	100016937	100106518	REV1	DDR
chr2	128014865	128051670	ERCC3	DDR
chr2	209100950	209119027	IDH1	DDR
chr2	219940045	220025587	NHEJ1	DDR
chr3	10068070	10141344	FANCD2	DDR
chr3	47627377	47823405	SMARCC1	DDR
chr3	48488113	48507054	ATRIP	DDR
chr3	121150272	121264853	POLQ	DDR
chr3	142168076	142297668	ATR	DDR
chr3	148747850	148804341	HLTF	DDR
chr3	186507680	186524290	RFC4	DDR
chr3	193853930	193856401	HES1	DDR
chr3	196195653	196230639	RNF168	DDR
chr3	4344987	4356086	SETMAR	DDR
chr3	8918879	9005159	RAD18	DDR
chr3	9791627	9799091	OGG1	DDR
chr3	14186646	14220172	XPC	DDR
chr3	37034840	37092337	MLH1	DDR
chr3	39093476	39138162	WDR48	DDR
chr3	48198667	48229801	CDC25A	DDR
chr3	48506918	48509044	TREX1	DDR
chr3	51976320	51982883	PARP3	DDR
chr3	73045893	73118352	PPP4R2	DDR
chr3	129149786	129159022	MBD4	DDR
chr3	133319448	133380737	TOPBP1	DDR
chr4	2073684	2243891	POLN	DDR
chr4	178230990	178284092	NEIL3	DDR
chr4	2470794	2517586	RNF4	DDR
chr4	39289068	39368001	RFC1	DDR
chr4	95128758	95212443	SMARCAD1	DDR
chr4	1341053	1381837	UVSSA	DDR
chr4	84328495	84377036	HELQ	DDR
chr4	84382091	84406290	FAM175A	DDR
chr4	155456148	155471585	PLRG1	DDR
chr4	174252526	174254920	HMGB2	DDR
chr5	68530621	68573257	CDK7	DDR
chr5	68665123	68710628	RAD17	DDR
chr5	74807574	74901645	POLK	DDR
chr5	79950466	80172634	MSH3	DDR
chr5	82373227	82606888	XRCC4	DDR
chr5	137620953	137667566	CDC25C	DDR
chr5	176332005	176433443	UIMC1	DDR
chr5	34905364	34915731	RAD1	DDR
chr5	60169658	60240905	ERCC8	DDR
chr5	70330950	70363497	GTF2H2	DDR
chr5	86690078	86708721	CCNH	DDR
chr5	131892615	131980313	RAD50	DDR
chr5	133706866	133727799	UBE2B	DDR
chr6	80714321	80752244	TTK	DDR
chr6	30667583	30685458	MDC1	DDR
chr6	37321747	37362514	RNF8	DDR
chr6	100956069	101329248	ASCC3	DDR
chr6	111620233	111804918	REV3L	DDR
chr6	146205942	146285233	SHPRH	DDR
chr6	158589378	158620376	GTF2H5	DDR
chr6	21593971	21598850	SOX4	DDR
chr6	24650204	24667115	TDP2	DDR
chr6	30875976	30881880	GTF2H4	DDR
chr6	35420137	35434881	FANCE	DDR
chr6	43543877	43588260	POLH	DDR
chr6	44355250	44418161	CDC5L	DDR
chr7	6010555	6048659	PMS2	DDR
chr7	7676193	7758238	RPA3	DDR
chr7	73645831	73668788	RFC2	DDR
chr7	2281856	2290780	NUDT1	DDR
chr7	40172341	40174251	MPLKIP	DDR
chr7	44111660	44122139	POLM	DDR
chr7	44154278	44163107	POLD2	DDR
chr7	48002884	48019222	HUS1	DDR
chr7	75956107	75988342	YWHAG	DDR
chr7	152343582	152373250	XRCC2	DDR
chr7	154735399	154794682	PAXIP1	DDR
chr8	95384187	95449180	RAD54B	DDR
chr8	30890777	31031277	WRN	DDR
chr8	42195972	42229331	POLB	DDR
chr8	48685668	48872743	PRKDC	DDR
chr8	54879113	54935016	TCEA1	DDR
chr8	90945563	90996899	NBN	DDR
chr8	126104082	126379367	NSMCE2	DDR
chr8	11627171	11644854	NEIL2	DDR
chr8	21964382	21966932	NUDT18	DDR
chr8	48920994	48974454	UBE2V2	DDR
chr8	103216728	103251059	RRM2B	DDR
chr8	145736666	145743210	RECQL4	DDR
chr9	72873877	72969789	SMC5	DDR
chr9	97861335	98079536	FANCC	DDR
chr9	32972603	33001574	APTX	DDR
chr9	35073834	35080013	FANCG	DDR
chr9	86595636	86618989	RMI1	DDR
chr9	92219926	92221470	GADD45G	DDR
chr9	100437190	100459691	XPA	DDR
chr9	110045516	110094475	RAD23B	DDR
chr9	116169514	116172955	POLE3	DDR
chr9	131037657	131051268	SWI5	DDR
chrX	24711949	25015103	POLA1	DDR
chrX	76760355	77041755	ATRX	DDR
chrX	14861528	14891191	FANCB	DDR
chrX	55026755	55034306	APEX2	DDR
chrX	96138906	96140466	RPA4	DDR
chrX	118708429	118718392	UBE2A	DDR
chrX	151995870	151999301	CETN2	DDR
chrX	152710177	152711945	TREX2	DDR
chrX	154299694	154351349	BRCC3	DDR
chr10	123716602	123734743	NSMCE4A	DDR
chr10	50662525	50747169	ERCC6	DDR
chr10	51026320	51371371	PARG	DDR
chr10	89623194	89731687	PTEN	DDR
chr10	99218080	99258366	MMS19	DDR
chr10	115594482	115613975	DCLRE1A	DDR
chr10	131265447	131565884	MGMT	DDR
chr10	14946609	14996431	DCLRE1C	DDR
chr10	70173820	70231730	DNA2	DDR
chr10	98064084	98098321	DNTT	DDR
chr10	103338638	103348027	POLL	DDR
chr11	18343815	18388590	GTF2H1	DDR
chr11	43902356	43941825	ALKBH3	DDR
chr11	61066918	61100684	DDB1	DDR
chr11	74303574	74354105	POLD3	DDR
chr11	108093558	108239826	ATM	DDR
chr11	4115914	4160155	RRM1	DDR
chr11	9595227	9611314	WEE1	DDR
chr11	22644078	22647387	FANCF	DDR
chr11	47236492	47260769	DDB2	DDR
chr11	60658018	60674061	PRPF19	DDR
chr11	61560108	61564716	FEN1	DDR
chr11	65479472	65487077	KAT5	DDR
chr11	65627871	65633914	MUS81	DDR
chr11	67118235	67121067	POLD4	DDR
chr11	67159422	67165883	RAD9A	DDR
chr11	74459912	74553458	RNF169	DDR
chr11	107879407	107978488	CUL5	DDR
chr11	118964583	118966177	H2AFX	DDR
chr11	125495030	125527042	CHEK1	DDR
chr12	1020901	1058888	RAD52	DDR
chr12	56618124	56623638	NABP2	DDR
chr12	21621843	21654603	RECQL	DDR
chr12	124118285	124147151	GTF2H3	DDR
chr12	54574141	54582778	SMUG1	DDR
chr12	93802087	93836026	UBE2N	DDR
chr12	102513948	102542785	PARPBP	DDR
chr12	104359592	104382656	TDG	DDR
chr12	104697509	104698983	EID3	DDR
chr12	109525992	109531293	ALKBH2	DDR
chr12	109535398	109548798	UNG	DDR
chr12	110940004	110969891	RAD9B	DDR
chr12	118454465	118470044	RFC5	DDR
chr12	133200347	133264110	POLE	DDR
chr13	24995068	25086948	PARP4	DDR
chr13	31032052	31191734	HMGB1	DDR
chr13	32889616	32973809	BRCA2	DDR
chr13	34392205	34540695	RFC3	DDR
chr13	113862506	113919392	CUL4A	DDR
chr13	48611702	48615638	NUDT15	DDR
chr13	103498190	103528351	ERCC5	DDR
chr13	108859789	108867130	LIG4	DDR
chr14	75480466	75518235	MLH3	DDR
chr14	45605141	45636395	FANCM	DDR
chr14	61201458	61435398	MNAT1	DDR
chr14	68286495	68938393	RAD51B	DDR
chr14	90422245	90511108	TDP1	DDR
chr14	20811772	20826063	PARP2	DDR
chr14	20923289	20925931	APEX1	DDR
chr14	50110269	50155098	POLE2	DDR
chr14	78138748	78174356	ALKBH1	DDR
chr14	94640648	94694183	PPP4R4	DDR
chr14	104163953	104181823	XRCC3	DDR
chr15	28356182	28567298	HERC2	DDR
chr15	41271077	41408444	INO80	DDR
chr15	43699411	43785354	TP53BP1	DDR
chr15	48623291	48635566	DUT	DDR
chr15	79165122	79190081	MORF4L1	DDR
chr15	91260557	91358692	BLM	DDR
chr15	29560352	29562020	NSMCE3	DDR
chr15	31196054	31203991	FAN1	DDR
chr15	40987326	41024356	RAD51	DDR
chr15	75639330	75647592	NEIL1	DDR
chr15	89164526	89175512	AEN	DDR
chr15	89787193	89860362	FANCI	DDR
chr15	89859535	89878026	POLG	DDR
chr16	2089815	2097870	NTHL1	DDR
chr16	27236314	27280113	NSMCE1	DDR
chr16	127017	135850	MPG	DDR
chr16	14014013	14046205	ERCC4	DDR
chr16	28962317	28977786	NFATC2IP	DDR
chr16	1543351	1560460	TELO2	DDR
chr16	1823228	1826239	EME2	DDR
chr16	3631181	3661607	SLX4	DDR
chr16	11439294	11445620	RMI2	DDR
chr16	23614482	23652678	PALB2	DDR
chr16	29465821	29469545	SLX1B	DDR
chr16	30087296	30096698	PPP4C	DDR
chr16	30205163	30208887	SLX1A	DDR
chr16	89803958	89883065	FANCA	DDR
chr17	59756546	59940920	BRIP1	DDR
chr17	73622924	73663269	RECQL5	DDR
chr17	1247833	1303556	YWHAE	DDR
chr17	1733272	1802848	RPA1	DDR
chr17	7571719	7578811	TP53	DDR
chr17	8043787	8055753	PER1	DDR
chr17	15879873	15903006	ZSWIM7	DDR
chr17	18174741	18218406	TOP3A	DDR
chr17	33307516	33330191	LIG3	DDR
chr17	33426810	33446888	RAD51D	DDR
chr17	34245083	34257303	RDM1	DDR
chr17	41196311	41276132	BRCA1	DDR
chr17	48450580	48458820	EME1	DDR
chr17	56769933	56772741	RAD51C	DDR
chr17	78388966	78404171	ENDOV	DDR
chr17	79506910	79519429	FAAP100	DDR
chr18	9546788	9614605	PPP4R1	DDR
chr18	13726658	13764555	RNMT	DDR
chr18	20513294	20606449	RBBP8	DDR
chr18	657603	673499	TYMS	DDR
chr18	51795848	51824604	POLI	DDR
chr19	11071597	11172958	SMARCA4	DDR
chr19	48618701	48673860	LIG1	DDR
chr19	4402659	4443394	CHAF1A	DDR
chr19	7684410	7694439	XAB2	DDR
chr19	11485382	11487627	SWSAP1	DDR
chr19	13056627	13064457	RAD23A	DDR
chr19	17378184	17390162	BABAM1	DDR
chr19	33463122	33468401	FAAP24	DDR
chr19	44047463	44079730	XRCC1	DDR
chr19	45854648	45873845	ERCC2	DDR
chr19	45910590	45927177	ERCC1	DDR
chr19	50364459	50370822	PNKP	DDR
chr19	50887579	50921275	POLD1	DDR
chr20	43514239	43537173	YWHAB	DDR
chr20	3767418	3786768	CDC25B	DDR
chr20	5095598	5100647	PCNA	DDR
chr20	55904830	55919049	SPO11	DDR
chr20	62289162	62327606	RTEL1	DDR
chr22	29083730	29137822	CHEK2	DDR
chr22	38914953	38964414	DMC1	DDR
chr22	19419424	19423601	MRPL40	DDR
chr22	22311396	22337240	TOP3B	DDR
chr22	41347350	41369019	RBX1	DDR
chr22	42017166	42060052	XRCC6	DDR
